16413_1_1_1	16413_1_1_1
16744_1_1_1	16744_1_1_1
16984_1_1_1	16984_1_1_1
16984_1_1_1	16982_1_1_1
17776_1_1_1	17776_1_1_1
17776_1_1_1	17775_1_1_1
18029_1_1_1	18029_1_1_1
18262_1_1_1	18262_1_1_1
18262_1_1_1	18261_1_1_1
18262_1_1_1	17148_1_1_1
18262_1_1_1	17131_1_1_1
18262_1_1_1	25643_1_1_1
18701_1_1_1	18701_1_1_1
18904_1_1_1	18904_1_1_1
19178_1_1_1	19178_1_1_1
19474_1_1_1	19474_1_1_1
25028_1_1_1	25028_1_1_1
25760_1_1_1	25760_1_1_1
26010_1_1_1	26010_1_1_1
26753_1_1_1	26753_1_1_1
26753_1_1_1	25132_1_1_1
26753_1_1_1	30043_1_1_1
26753_1_1_1	19927_1_1_1
26753_1_1_1	27612_1_1_1
26753_1_1_1	27158_1_1_1
27700_1_1_1	27700_1_1_1
28100_1_1_1	28100_1_1_1
30097_1_1_1	30097_1_1_1
30444_1_1_1	30444_1_1_1
30661_1_1_1	30661_1_1_1
30661_1_1_1	16921_1_1_1
30661_1_1_1	30662_1_1_1
31018_1_1_1	31018_1_1_1
34336_1_1_1	34336_1_1_1
34513_1_1_1	34513_1_1_1
36431_1_1_1	36431_1_1_1
50447_1_1_1	50447_1_1_1
50961_1_1_1	50961_1_1_1
51412_1_1_1	51412_1_1_1
51412_1_1_1	51169_1_1_1
11507_1_1_1	11507_1_1_1
15587_1_1_1	15587_1_1_1
15802_1_1_1	15802_1_1_1
16141_1_1_1	16141_1_1_1
16425_1_1_1	16425_1_1_1
16772_1_1_1	16772_1_1_1
17002_1_1_1	17002_1_1_1
17284_1_1_1	17284_1_1_1
17542_1_1_1	17542_1_1_1
17784_1_1_1	17784_1_1_1
18037_1_1_1	18037_1_1_1
18037_1_1_1	17701_1_1_1
18267_1_1_1	18267_1_1_1
18546_1_1_1	18546_1_1_1
18704_1_1_1	18704_1_1_1
18911_1_1_1	18911_1_1_1
18911_1_1_1	18900_1_1_1
19799_1_1_1	19799_1_1_1
25032_1_1_1	25032_1_1_1
25241_1_1_1	25241_1_1_1
25565_1_1_1	25565_1_1_1
25761_1_1_1	25761_1_1_1
26021_1_1_1	26021_1_1_1
26762_1_1_1	26762_1_1_1
27394_1_1_1	27394_1_1_1
27706_1_1_1	27706_1_1_1
28109_1_1_1	28109_1_1_1
28109_1_1_1	27591_1_1_1
28109_1_1_1	27592_1_1_1
28109_1_1_1	25441_1_1_1
30445_1_1_1	30445_1_1_1
34217_1_1_1	34217_1_1_1
34344_1_1_1	34344_1_1_1
34514_1_1_1	34514_1_1_1
36021_1_2_2	36021_1_2_2
36471_1_1_1	36471_1_1_1
50480_1_1_1	50480_1_1_1
50963_1_1_1	50963_1_1_1
51419_1_1_1	51419_1_1_1
11511_1_1_1	11511_1_1_1
15247_1_1_1	15247_1_1_1
25958_1_3_1	25958_1_3_1
25958_1_3_1	25958_1_1_1
26646_1_1_1	26646_1_1_1
27276_1_1_1	27276_1_1_1
27598_1_1_1	27598_1_1_1
30623_1_1_1	30623_1_1_1
30899_1_2_2	30899_1_2_2
34149_1_1_1	34149_1_1_1
34477_1_1_1	34477_1_1_1
34708_1_1_1	34708_1_1_1
36299_1_1_1	36299_1_1_1
50328_1_1_1	50328_1_1_1
50328_1_1_1	50360_1_1_1
50871_1_1_1	50871_1_1_1
51340_1_1_1	51340_1_1_1
15142_1_1_1	15142_1_1_1
15517_1_1_1	15517_1_1_1
15517_1_1_1	36086_1_1_1
16019_1_1_1	16019_1_1_1
16345_1_1_1	16345_1_1_1
16686_1_1_1	16686_1_1_1
16909_1_2_2	16909_1_2_2
17212_1_1_1	17212_1_1_1
17452_1_1_1	17452_1_1_1
17452_1_1_1	17145_1_1_1
17452_1_1_1	17147_1_1_1
17993_1_1_1	17993_1_1_1
18211_1_1_1	18211_1_1_1
18667_1_1_1	18667_1_1_1
18854_1_1_1	18854_1_1_1
19109_1_1_1	19109_1_1_1
19431_1_1_1	19431_1_1_1
19688_1_1_1	19688_1_1_1
19994_1_1_1	19994_1_1_1
25171_1_2_2	25171_1_2_2
25453_1_1_1	25453_1_1_1
25721_1_1_1	25721_1_1_1
25958_1_4_2	25958_1_4_2
25958_1_4_2	25958_1_2_2
26654_1_1_1	26654_1_1_1
26942_2_1_1	26942_2_1_1
26942_2_1_1	26942_1_1_1
27605_1_1_1	27605_1_1_1
27605_1_1_1	17417_1_1_1
27605_1_1_1	27605_2_1_1
28060_1_1_1	28060_1_1_1
30910_1_1_1	30910_1_1_1
34153_1_1_1	34153_1_1_1
34307_1_2_2	34307_1_2_2
34479_1_1_1	34479_1_1_1
34719_1_1_1	34719_1_1_1
36309_1_1_1	36309_1_1_1
11413_1_1_1	11413_1_1_1
11413_1_1_1	11409_1_1_1
15160_1_1_1	15160_1_1_1
15530_1_1_1	15530_1_1_1
15746_1_1_1	15746_1_1_1
16037_1_1_1	16037_1_1_1
16350_1_1_1	16350_1_1_1
16694_1_2_2	16694_1_2_2
17232_1_1_1	17232_1_1_1
18002_1_1_1	18002_1_1_1
18222_1_1_1	18222_1_1_1
18507_1_1_1	18507_1_1_1
18678_1_1_1	18678_1_1_1
